Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source,key
Clearstream,Google API,https://www.fitchratings.com/research/non-bank-financial-institutions/fitch-affirms-clearstream-banking-at-aa-outlook-stable-05-07-2021,Fitch Affirms Clearstream Banking at 'AA'; Outlook Stable,"A full list of rating actions is below. KEY RATING DRIVERS. VR, IDR AND DEBT RATING. The ratings of Clearstream reflect its market leading position in the ...","A full list of rating actions is below. KEY RATING DRIVERS. VR, IDR AND DEBT RATING. The ratings of Clearstream reflect its market leading position in the ...",positive,0.72,0.28,0.0,negative,0.0,0.02,0.98,True,English,"['Fitch', 'Clearstream']","['Clearstream Banking', 'Outlook Stable', 'Fitch', 'AA', 'KEY RATING DRIVERS', 'rating actions', 'DEBT RATING', 'full list', 'leading position', 'VR', 'IDR', 'ratings', 'Clearstream', 'market']",2021-07-05,fitchratings.com,
Clearstream,Google API,https://www.globalcustodian.com/clearstream-and-digital-asset-exploring-dlt-replacement-for-legacy-system/,Clearstream and Digital Asset exploring DLT replacement for ...,"Clearstream and Digital Asset exploring DLT replacement for legacy system. The major technology overhaul could mirror projects underway at the ASX and HKEX, ...","Clearstream and Digital Asset exploring DLT replacement for legacy system. The major technology overhaul could mirror projects underway at the ASX and HKEX, ...",positive,0.55,0.44,0.01,neutral,0.27,0.72,0.01,True,English,"['Clearstream', 'Digital Asset', 'Clearstream', 'Digital Asset', 'ASX', 'HKEX']","['Digital Asset', 'DLT replacement', 'Clearstream', 'major technology overhaul', 'Digital Asset', 'DLT replacement', 'legacy system', 'Clearstream', 'projects', 'ASX', 'HKEX']",2021-07-01,globalcustodian.com,
Clearstream,Google API,https://www.marketscreener.com/news/latest/Indonesia-Reduction-in-the-withholding-tax-rate-on-coupons--35762438/,Indonesia: Reduction in the withholding tax rate on coupons,Clearstream Banking1 informs customers that with effect from. 2 August 2021. the withholding tax rate will be reduced from 20% to 10% for coupons in ...,Clearstream Banking1 informs customers that with effect from. 2 August 2021. the withholding tax rate will be reduced from 20% to 10% for coupons in ...,neutral,0.02,0.93,0.05,neutral,0.02,0.95,0.03,True,English,['Clearstream Banking1'],"['withholding tax rate', 'Indonesia', 'Reduction', 'coupons', 'withholding tax rate', 'Clearstream Banking1', 'customers', 'effect', 'August', 'coupons']",2021-07-01,marketscreener.com,
Clearstream,Google API,https://redbankpulse.com/2021/07/26th-annual-clamfest-highlands/,26th Annual Clamfest in Highlands set to return this summer,"On Saturday, August 7th, the festival begins at noon, with classic rock favorites performed by Chris Turner and ClearStream at 1:00pm; finishing with Tim ...","On Saturday, August 7th, the festival begins at noon, with classic rock favorites performed by Chris Turner and ClearStream at 1:00pm; finishing with Tim ...",neutral,0.02,0.97,0.01,positive,0.83,0.17,0.0,True,English,['ClearStream'],"['26th Annual Clamfest', 'Highlands', 'classic rock favorites', 'Chris Turner', 'Saturday', 'August', 'festival', 'noon', 'ClearStream', '1:00pm', 'Tim']",2021-07-03,redbankpulse.com,
Clearstream,Google API,https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-nbrs-brfs-st-0707-20210706-sjppui5bkze2vcwcw6tam4knki-story.html,Community news,Interested individuals are asked to confirm availability and reserve ClearStream recycle containers at least one week prior to scheduled events. For more ...,Interested individuals are asked to confirm availability and reserve ClearStream recycle containers at least one week prior to scheduled events. For more ...,neutral,0.12,0.85,0.03,neutral,0.06,0.92,0.02,True,English,['ClearStream'],"['Community news', 'Interested individuals', 'scheduled events', 'availability', 'ClearStream', 'containers']",2021-07-06,chicagotribune.com,
Clearstream,Google API,https://www.moneyweb.co.za/mny_sens/hammerson-plc-hammerson-plc-announces-redemption-price-for-the-early-redemption-of-the-eur-500000000-2-00-bonds-due-2022/,HAMMERSON PLC – Hammerson plc announces redemption ...,"Holders of Bonds which are held by Clearstream, Luxembourg or Euroclear should contact the relevant corporate actions departments within the Clearing ...","Holders of Bonds which are held by Clearstream, Luxembourg or Euroclear should contact the relevant corporate actions departments within the Clearing ...",neutral,0.0,0.99,0.01,neutral,0.01,0.99,0.0,True,English,"['HAMMERSON PLC', 'Hammerson plc', 'Clearstream', 'Luxembourg', 'Euroclear']","['HAMMERSON PLC', 'redemption', 'relevant corporate actions departments', 'Holders', 'Bonds', 'Clearstream', 'Luxembourg', 'Euroclear', 'Clearing']",2021-07-05,moneyweb.co.za,
Clearstream,Google API,https://www.zawya.com/mena/en/markets/story/Interview_As_Saudi_IPO_action_picks_up_COVIDresilient_sectors_have_an_advantage__HSBC-ZAWYA20210707035914/,"Interview: As Saudi IPO action picks up, COVID-resilient sectors have an advantage - HSBC","Clearstream connects the Saudi capital market to its network through a link with the Securities Depository Center Company (Edaa), a Tadawul-owned company. “ ...","Clearstream connects the Saudi capital market to its network through a link with the Securities Depository Center Company (Edaa), a Tadawul-owned company. “ ...",neutral,0.19,0.8,0.01,neutral,0.03,0.96,0.01,True,English,"['HSBC', 'Clearstream', 'Securities Depository Center Company', 'Edaa', 'Tadawul']","['Saudi IPO action', 'COVID-resilient sectors', 'Interview', 'advantage', 'HSBC', 'Securities Depository Center Company', 'Saudi capital market', 'Tadawul-owned company', 'Clearstream', 'network', 'link', 'Edaa']",2021-07-07,zawya.com,
Clearstream,Google API,https://www.leaprate.com/forex/institutional/deutsche-borse-group-takes-majority-stake-in-crypto-finance-ag/,Deutsche Börse Group takes majority stake in Crypto Finance ...,"Last month, Deutsche Börse acquired the remaining 49% stake Clearstream Fund Centre from UBS, for CHF 390 million. With this deal Deutsche Börse will ...","Last month, Deutsche Börse acquired the remaining 49% stake Clearstream Fund Centre from UBS, for CHF 390 million. With this deal Deutsche Börse will ...",neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,"['Deutsche Börse Group', 'Crypto Finance', 'Deutsche Börse', 'Clearstream Fund Centre', 'UBS', 'Deutsche Börse']","['Deutsche Börse Group', 'majority stake', 'Crypto Finance', 'remaining 49% stake Clearstream Fund Centre', 'deal Deutsche Börse', 'UBS', 'CHF']",2021-06-30,leaprate.com,
Clearstream,Twitter API,Twitter,Ryuujinokenwo Laughin'_to_Clearstream_[CHIEF_KEEF_LAUGHIN'_TO_THE_BANK_SARKO_FREESTYLE_REMIX].mp3,,Ryuujinokenwo Laughin'_to_Clearstream_[CHIEF_KEEF_LAUGHIN'_TO_THE_BANK_SARKO_FREESTYLE_REMIX].mp3,neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,[],"['Ryuujinokenwo Laughin', 'CHIEF_KEEF_LAUGHIN', 'BANK', 'SARKO_FREESTYLE_REMIX', 'Ryuujinokenwo Laughin', 'CHIEF_KEEF_LAUGHIN', 'BANK', 'SARKO_FREESTYLE_REMIX']",2021-07-07,Unknown,
Clearstream,Twitter API,Twitter,Slipping water Water  river  clearstream  mountainstream  valley  watercurrent  waterfall…,,Slipping water Water  river  clearstream  mountainstream  valley  watercurrent  waterfall…,neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,[],"['Slipping water Water  river', 'mountainstream  valley  watercurrent  waterfall', 'Slipping water Water  river', 'mountainstream  valley  watercurrent  waterfall']",2021-07-07,Unknown,
